sector;ticker;type;cagr_lucros_5_anos;cagr_receitas_5_anos;dy;dív_líquida_ebit;dív_líquida_ebitda;dív_líquida_pl;ev_ebit;ev_ebitda;giro_ativos;liq_corrente;lpa;m_bruta;m_ebit;m_ebitda;m_líquida;p_ativo;p_ativo_circ_liq;p_cap_giro;p_ebit;p_ebitda;p_l;p_sr;p_vp;passivos_ativos;peg_ratio;pl_ativos;roa;roe;roic;vpa;outlier
Bens Industriais;INEP3;stock;0,0;-33,23;0,0;-10,26;-13,6;0,0;-10,99;-14,58;0,0;0,08;11,47;-72,83;-2075,77;-1565,69;11851,47;0,06;-0,07;-0,06;-0,74;-0,98;0,13;15,4;-0,05;2,34;0,0;-1,34;49,6;-36,9;174,54;-31,08;True
Bens Industriais;INEP4;stock;0,0;-33,23;0,0;-10,26;-13,6;0,0;-10,99;-14,58;0,0;0,08;11,47;-72,83;-2075,77;-1565,69;11851,47;0,06;-0,07;-0,06;-0,73;-0,96;0,13;15,09;-0,05;2,34;0,0;-1,34;49,6;-36,9;174,54;-31,08;True
Comunicações;TELB3;stock;0,0;15,86;0,0;8,1;-11,31;-1,04;1,78;-2,49;0,1;4,92;-2,78;-58,26;-39,9;28,57;-61,12;0,26;-0,47;0,76;-6,68;9,33;-4,36;2,66;0,85;0,69;-0,03;0,31;-6,06;-19,59;-12,12;14,18;True
Comunicações;TELB4;stock;0,0;15,86;0,0;8,1;-11,31;-1,04;1,78;-2,49;0,1;4,92;-2,78;-58,26;-39,9;28,57;-61,12;0,2;-0,35;0,57;-4,99;6,96;-3,25;1,99;0,64;0,69;-0,03;0,31;-6,06;-19,59;-12,12;14,18;True
Consumo Cíclico;ALLD3;stock;20,06;16,54;34,3;1,07;0,85;0,15;4,0;3,2;1,62;1,76;1,65;11,78;3,98;4,97;2,8;0,19;-0,55;0,67;2,93;2,35;4,17;0,12;0,43;0,55;0,04;0,45;4,54;10,19;9,85;16,23;True
Consumo Cíclico;AMER3;stock;0,0;18,16;0,0;-0,99;0,94;0,11;-2,68;2,56;0,79;1,7;57,03;33,32;-4,37;4,58;77,71;0,06;-0,1;0,36;-1,69;1,61;0,1;0,07;0,19;0,69;0,0;0,31;61,7;199,74;-9,57;28,55;True
Consumo Cíclico;ANIM3;stock;0,0;27,63;27,89;5,47;3,22;1,73;6,42;3,78;0,38;1,76;-0,13;48,13;18,87;32,0;-1,34;0,07;-0,09;0,66;0,95;0,56;-13,36;0,18;0,3;0,72;0,3;0,23;-0,51;-2,24;8,59;5,64;True
Consumo Cíclico;CEAB3;stock;241,65;7,64;3,5;-0,09;-0,06;-0,02;3,66;2,56;0,76;1,3;1,47;54,69;10,6;15,17;5,93;0,3;-0,6;2,66;3,76;2,62;6,72;0,4;0,92;0,67;0,0;0,33;4,5;13,68;15,58;10,73;True
Consumo Cíclico;EZTC3;stock;29,9;22,62;8,82;0,6;0,52;0,04;9,67;8,38;0,23;11,59;1,63;32,97;20,3;23,42;24,51;0,43;-0,77;1,04;9,06;7,85;7,5;1,84;0,55;0,22;0,08;0,77;5,68;7,38;4,68;22,12;True
Consumo Cíclico;GFSA3;stock;0,0;2,81;0,0;18,87;19,39;0,76;20,48;21,05;0,18;1,66;0,95;-12,78;8,82;8,58;12,31;0,03;-0,07;0,1;1,62;1,66;1,16;0,14;0,07;0,61;-0,01;0,39;2,18;5,64;1,86;16,81;True
Consumo Cíclico;LJQQ3;stock;-65,56;14,68;4,87;-1,12;-0,5;-0,22;2,81;1,25;0,72;1,56;0,0;34,81;3,96;8,89;0,01;0,11;-0,39;0,44;3,93;1,75;2845,92;0,16;0,76;0,85;-28,67;0,15;0,0;0,03;8,35;2,8;True
Consumo Cíclico;PDGR3;stock;0,0;-15,54;0,0;-0,35;-0,35;0,0;-0,37;-0,37;0,21;0,32;91,77;-9,46;-511,59;-511,06;1116,06;0,02;-0,05;-0,01;-0,02;-0,02;0,01;0,09;0,0;7,14;0,0;-6,0;236,77;-39,48;20,76;-232,48;True
Consumo Cíclico;RSID3;stock;0,0;-41,82;0,0;-1,34;-1,34;0,0;-1,57;-1,57;0,17;0,45;13,81;28,74;-311,91;-311,72;327,6;0,12;-0,24;-0,2;-0,23;-0,23;0,22;0,71;-0,06;2,93;0,0;-1,93;54,91;-28,42;100,59;-48,6;True
Consumo Cíclico;VSTE3;stock;0,0;3,1;0,68;6,74;0,0;0,28;24,98;0,0;0,67;1,52;0,01;63,27;3,91;0,0;0,06;0,48;-0,68;4,76;18,24;0,0;1191,43;0,71;0,76;0,37;-12,27;0,63;0,04;0,06;2,31;9,15;True
Consumo não Cíclico;AGXY3;stock;0,0;0,0;0,0;-0,73;-13,71;0,0;-0,82;-15,28;1,57;0,4;-9,85;3,05;-25,55;-1,36;-39,92;0,03;-0,07;-0,04;-0,08;-1,57;-0,05;0,02;-0,1;1,33;0,0;-0,33;-62,87;-189,71;-3145,66;-5,19;True
Consumo não Cíclico;BEEF3;stock;0,0;10,65;0,0;3,99;3,18;11,92;5,19;4,14;0,82;1,92;0,0;21,13;7,53;9,46;0,0;0,07;-0,23;0,23;1,2;0,96;2021,22;0,09;3,6;0,96;-20,29;0,02;0,0;0,18;8,03;1,23;True
Consumo não Cíclico;BOBR4;stock;0,76;6,3;0,0;1,23;1,09;277,35;2,77;2,46;1,67;0,97;0,28;41,02;13,83;15,6;4,73;0,44;-0,96;-24,07;1,91;1,69;5,58;0,26;430,5;1,0;-0,17;0,0;7,91;7721,5;49,19;0,0;True
Consumo não Cíclico;JBSS3;stock;210,62;14,9;9,77;3,76;2,39;1,6;7,18;4,56;1,75;1,47;3,28;14,24;5,02;7,89;1,84;0,3;-0,5;2,33;3,42;2,17;9,35;0,17;1,46;0,77;0,02;0,21;3,22;15,6;10,83;21,06;True
Financeiro e Outros;BBAS3;stock;12,21;17,31;8,02;0,0;0,0;0,0;5,64;0,0;0,11;10,06;5,09;38,21;10,13;0,0;10,67;0,07;-0,07;2,09;5,64;0,0;5,36;0,57;0,85;0,92;-0,44;0,08;1,22;15,83;0,0;32,15;True
Financeiro e Outros;BBDC3;stock;-3,56;11,4;9,57;0,0;0,0;0,0;6,78;0,0;0,1;12,81;1,66;32,33;7,93;0,0;8,23;0,05;-0,06;0,57;6,52;0,0;6,28;0,52;0,65;0,92;0,3;0,08;0,85;10,38;0,0;15,95;True
Financeiro e Outros;BBDC4;stock;-3,56;11,4;9,74;0,0;0,0;0,0;6,78;0,0;0,1;12,81;1,66;32,33;7,93;0,0;8,23;0,06;-0,06;0,62;7,04;0,0;6,79;0,56;0,7;0,92;0,32;0,08;0,85;10,38;0,0;15,95;True
Financeiro e Outros;EPAR3;stock;-6,83;-44,69;24,27;2,13;29,28;-0,1;-27,18;-373,74;0,35;15,81;0,46;-1,9;-10,38;-0,75;27,86;1,08;-1,21;10,5;-29,31;-403,01;10,92;3,04;1,34;0,2;-0,08;0,8;9,85;12,28;-18,35;3,72;True
Financeiro e Outros;GSHP3;stock;0,0;-5,71;0,0;35,92;34,58;0,0;36,13;34,78;0,12;1,27;-177,58;50,04;32,68;33,95;-200,18;0,01;-0,01;0,22;0,21;0,2;-0,03;0,07;-0,01;1,77;0,0;-0,77;-24,71;-32,28;5,2;-550,17;True
Financeiro e Outros;NEXP3;stock;0,0;0,72;0,0;-1,09;-1,1;0,0;-1,28;-1,3;0,72;0,34;-17,27;4,63;-68,55;-67,57;-58,89;0,09;-0,16;-0,12;-0,19;-0,19;-0,22;0,13;-0,06;2,55;0,0;-1,56;-42,25;-27,12;53,96;-63,66;True
Financeiro e Outros;PINE3;stock;0,0;21,9;10,55;0,0;0,0;0,0;7,01;0,0;41,12;0,0;0,47;2,75;14,36;0,0;10,4;42,76;-44,56;0,0;7,24;0,0;10,0;1,04;913,52;0,95;-0,42;0,05;427,53;9133,23;0,0;0,01;True
Financeiro e Outros;PINE4;stock;0,0;21,9;11,28;0,0;0,0;0,0;7,01;0,0;41,12;0,0;0,47;2,75;14,36;0,0;10,4;40,01;-41,69;0,0;6,78;0,0;9,36;0,97;854,71;0,95;-0,39;0,05;427,53;9133,23;0,0;0,01;True
Financeiro e Outros;RPAD3;stock;0,0;0,0;1,93;0,56;0,0;-0,05;-4,06;0,0;0,0;16,74;-0,96;0,0;0,0;0,0;0,0;0,34;-0,36;6,74;-3,69;0,0;-4,36;0,0;0,34;0,01;0,01;0,99;-7,75;-7,82;-10,01;12,22;True
Financeiro e Outros;SYNE3;stock;0,0;-2,81;64,06;0,2;0,0;0,11;1,02;0,0;0,37;11,34;3,22;42,97;59,77;0,0;35,24;0,18;-0,26;0,64;0,82;0,0;1,4;0,49;0,44;0,35;0,0;0,41;12,96;31,25;20,71;10,31;True
