ticker;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
CVCB3;Consumer Cyclical;-67,47066;1,8682309;;;-22,89;;3;True
RADL3;Healthcare;24,174747;5,3605447;1,4400001;29,299999999999997;18,812001000000002;0,4757;3;True
MRFG3;Consumer Defensive;-11,098039;2,3357544;19,620001000000002;;6,0510002;;3;True
ELET3;Utilities;8,965607;0,71758443;3,37;393,8;8,665000000000001;0,0916;3;True
ANIM3;Consumer Defensive;5,5453305;0,38461536;21,23;;1,8800000000000001;;3;True
VBBR3;Consumer Cyclical;8,659769;1,0111318;8,64;235,6;53,879999999999995;0,20969999;3;True
JBSS3;Consumer Defensive;6,6632614;1,54858;8,939999;571,0;16,947001;0,6;3;True
AURE3;Utilities;-109,98877;0,70072293;4,7199998;;5,447;2,6274;3;True
WEGE3;Industrials;29,472088;11,1572;0,74;20,3;34,195;0,5152;3;True
ALOS3;Real Estate;14,152323;0,7479454;8,76;345,90000000000003;5,7239998;2,0994;3;True
PETZ3;Consumer Cyclical;26,016356;1,1653836;13,13;700,3;0,308;0,2383;3;True
EMBR3;Industrials;122,16162;2,6018674;;225,70000000000002;16,434;;3;True
IFCM3;Industrials;1,1999999;;;;-289,19199;;3;True
STBP3;Industrials;13,304799;4,945591;4,44;55,50000000000001;33,857;0,6707;3;True
LWSA3;Technology;11,477476;0,6897927;2,11;343,6;0,50999997;;3;True
BBSE3;Financial Services;8,485381;6,020279;7,1499999999999995;9,0;74,325997;0,6111;3;True
TOTS3;Technology;17,749683;4,3694606;1,3099999;62,9;14,729999;0,3788;3;True
IRBR3;Financial Services;8,746154;0,97229344;;341,0;11,564;;3;True
SBSP3;Utilities;14,327508;1,8154773;1,4199998999999999;622,2;27,645999999999997;0,2466;3;True
EVEN3;Real Estate;4,274914;0,6648851;26,400000000000002;;13,428999999999998;0,57490003;3;True
BRKM5;Basic Materials;-12,420924;;;;-548,765;;5;True
CURY3;Real Estate;7,7207885;6,2780747;5,84;57,599999999999994;58,924997000000005;0,4969;3;True
RECV3;Energy;4,167921;1,020055;21,16;9,5;13,145000000000001;0,9931;3;True
SRNA3;Utilities;-362,84402;0,9225565;;-64,9;4,099;;3;True
BHIA3;Consumer Cyclical;-0,3483387;0,107320935;;;-43,566;;3;True
VVEO3;Healthcare;-18,219084;0,16760948;8,53;;-1,991;0,2245;3;True
ALPA4;Consumer Cyclical;10,589148;1,1677209;;;-32,111000000000004;;4;True
AZEV4;Industrials;;0,50414366;;;-72,635;;4;True
ODPV3;Healthcare;11,08505;5,0171237;9,0100005;11,1;39,244;0,8204;3;True
EZTC3;Real Estate;8,303251;0,60852104;24,93;238,89999999999998;;0,1785;3;True
AERI3;Industrials;55,0;0,32482874;;;-17,797;;3;True
ELET6;Utilities;10,236036;0,7965948;8,7;393,8;8,665000000000001;0,4136;6;True
DASA3;Healthcare;-50,995365;0,16221374;;;-10,363;;3;True
MTRE3;Real Estate;2,3857143;0,35535693;17,45;801,8000000000001;5,8819998;0,42419997;3;True
PORT3;Industrials;94,83145;2,846063;5,3100000000000005;130,5;19,559;0,515;3;True
MEAL3;Consumer Cyclical;-16,5;0,27385893;;;-9,593;;3;True
CASH3;Communication Services;5,2093024;0,9155313;125,75;36,8;-9,629;31,948101;3;True
ORVR3;Industrials;15,258011;4,7191367;;1903,5;22,703;;3;True
SYNE3;Real Estate;-32,25;0,5005335;111,50999999999999;534,1;24,841999;0,8948;3;True
ENJU3;Consumer Cyclical;-14,888888;0,8491762;;;-10,84;;3;True
CLSA3;Technology;37,777775;2,7500672;;;-3,479;;3;True
AZEV3;Industrials;;0,50414366;;;-72,635;;3;True
PFRM3;Healthcare;-11,892857;0,6097784;8,85;52,6;7,414;0,4399;3;True
AMBP3;Industrials;97,6;11,541008;;;-5,864;;3;True
AMAR3;Consumer Cyclical;-2,2280703;2,3431735;;;-219,60899999999998;;3;True
SEQL3;Industrials;-22,545454;0,1812733;;;-388,096;;3;True
TCSA3;Real Estate;-50,333336;0,25280428;;;-30,049;;3;True
WEST3;Consumer Cyclical;-46,818184;0,24641149;;;-15,913;;3;True
FICT3;Communication Services;;2,5571067;;;70,36;;3;True
VIVR3;Real Estate;;0,28341207;;;-74,289;;3;True
ELMD3;Communication Services;18,202454;4,484583;0,06999999999999999;626,4;14,244000000000002;0,026700001;3;True
TRAD3;Technology;;0,88305086;;;-68,074;;3;True
BIOM3;Healthcare;;4,1794987;;;-37,535000000000004;;3;True
ALLD3;Technology;7,3469386;0,44255948;46,410000000000004;7,199999999999999;10,105;1,2704;3;True
SCAR3;Real Estate;52,588234;0,6137159;10,209999999999999;;15,504000000000001;0,4107;3;True
KRSA3;Healthcare;-42,95;0,72039586;;;-7,692;;3;True
BOBR4;Consumer Defensive;;439,99997;;-52,2;;;4;True
BRKM3;Basic Materials;;;;;-548,765;;3;True
OFSA3;Healthcare;9,168269;1,4065497;4,8800003;909,6999999999999;13,020999999999999;0,3621;3;True
LVTC3;Communication Services;2,8658535;0,22815533;;493,20000000000005;1,2710000000000001;;3;True
ALUP4;Utilities;;0,35975158;4,9099997;263,7;14,984;0,4124;4;True
EPAR3;Basic Materials;;0,9866511;75,949997;;14,621;2,9101;3;True
ALUP3;Utilities;;0,38357875;4,77;263,7;14,984;0,4124;3;True
ALPA3;Consumer Cyclical;;1,1728501;;;-32,111000000000004;;3;True
GEPA4;Utilities;;1,3955683;20,25;-27,900000000000002;13,131;2,1039999;4;True
HOOT4;Consumer Cyclical;;;;1337,3;;;4;True
RDNI3;Real Estate;8,689655;0,32941175;;;-47,068;;3;True
CTSA4;Consumer Cyclical;;0,12451862;;;-35,827999999999996;;4;True
BRKM6;Basic Materials;;;;;-548,765;;6;True
FRIO3;Consumer Cyclical;;5,1740704;;;72,172;;3;True
ATMP3;Industrials;;0,08251303;;;219,04402;;3;True
CGAS5;Utilities;18,902617;17,337688;16,72;7,9;392,22;0,891;5;True
EKTR4;Utilities;;5,1764374;19,8;1,3;41,923;1,9578999;4;True
JOPA4;Consumer Defensive;;0,420632;1,9900000000000002;910,6999999999999;5,173;0,1452;4;True
