business_segment;activity_subsector;sector;ticker;company_name;crescimento_lucro;crescimento_receita;dividend_yield;Dív. líquida/EBIT;div_liq_ebitda;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;lpa;liq_corrent;M. Bruta;M. EBIT;M. EBITDA;m_liquida;passivos_ativos;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;p_l;P/SR;p_vp;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;roe;ROIC;VPA;number_code;outlier
Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;HAPV3;HAPVIDA;0,0;43,42;0,0;2,73;1,51;0,08;15,98;8,81;0,3;-0,07;1,39;5,66;5,99;10,86;-2,45;0,24;-0,28;6,62;13,24;7,31;-32,34;0,79;0,37;0,78;0,66;0,34;-0,74;-1,13;2,2;6,46;3;True
Alimentos;Comércio e Distribuição;Consumo não Cíclico;CRFB3;ATACADÃO;-56,79;15,15;1,32;5,1;3,37;0,92;9,32;6,15;1,29;0,01;0,96;18,48;3,15;4,77;0,02;0,17;-0,31;-8,61;4,22;2,78;605,72;0,13;0,76;-6,94;0,22;0,76;0,03;0,13;7,29;9,41;3;True
Transporte Aéreo;Transporte;Bens Industriais;AZUL4;AZUL;0,0;15,18;0,0;10,48;5,59;0,0;10,93;5,84;0,81;-0,06;0,27;24,34;14,77;27,67;-0,37;0,2;-0,25;-0,34;1,65;0,88;-65,61;0,24;-0,18;0,7;-1,11;2,11;-0,3;-0,27;64,38;-20,59;4;True
Transporte Ferroviário;Transporte;Bens Industriais;RAIL3;RUMO;0,0;10,68;0,51;5,08;2,6;0,82;18,95;9,7;0,26;-0,38;1,96;44,03;18,53;36,2;-5,32;0,68;-0,88;5,9;13,87;7,1;-48,33;2,57;2,25;0,28;0,3;0,7;-1,4;-4,65;5,04;8,08;3;True
Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;USIM5;USIMINAS;0,0;11,59;4,74;1,63;0,47;0,03;16,51;4,78;0,65;-0,12;3,64;6,42;1,93;6,67;-0,56;0,19;-0,33;0,59;14,97;4,34;-51,26;0,29;0,28;0,46;0,67;0,33;-0,37;-0,55;1,2;21,29;5;True
Medicamentos e Outros Produtos;Comércio e Distribuição;Saúde;RADL3;RAIA DROGASIL;17,18;18,08;1,81;1,23;0,69;0,45;15,2;8,56;1,72;0,65;1,39;29,83;6,19;11,0;2,95;1,49;-3,6;9,08;13,97;7,87;29,38;0,87;5,18;10,25;0,29;0,71;5,06;17,62;21,3;3,67;3;True
Carnes e Derivados;Alimentos Processados;Consumo não Cíclico;MRFG3;MARFRIG;-30,34;34,79;20,53;7,57;3,31;7,19;9,96;4,35;1,05;0,26;1,23;12,76;3,62;8,29;0,16;0,09;-0,15;1,21;2,39;1,04;53,26;0,09;2,26;-0,48;0,04;0,83;0,17;4,25;4,77;6,08;3;True
Telecomunicações;Telecomunicações;Comunicações;OIBR3;OI;-13,33;-15,12;0,0;-3,91;-10,38;0,0;-4,09;-10,86;0,42;36,44;0,76;-5,57;-26,29;-9,9;137,63;0,02;-0,03;-0,19;-0,18;-0,47;0,03;0,05;-0,03;0,0;-0,72;1,72;58,38;-81,27;77,37;-44,84;3;True
Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;ONCO3;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.;0,0;0,0;0,0;4,83;3,49;0,96;9,01;6,51;0,5;0,11;1,96;33,54;12,31;17,03;1,19;0,26;-0,43;1,28;4,18;3,02;43,3;0,51;0,83;-0,65;0,31;0,66;0,59;1,91;7,05;5,82;3;True
Carnes e Derivados;Alimentos Processados;Consumo não Cíclico;JBSS3;JBS;210,62;14,9;9,55;3,76;2,39;1,6;7,26;4,61;1,75;3,28;1,47;14,24;5,02;7,89;1,84;0,31;-0,52;2,38;3,5;2,22;9,56;0,18;1,49;0,02;0,21;0,77;3,22;15,6;10,83;21,06;3;True
Motores . Compressores e Outros;Máquinas e Equipamentos;Bens Industriais;WEGE3;WEG;35,41;22,11;1,44;-0,43;-0,39;-0,16;30,22;27,42;0,98;1,45;1,78;25,74;20,18;22,24;17,06;6,08;-17,59;21,2;30,65;27,81;36,26;6,18;11,2;2,06;0,54;0,44;16,78;30,89;25,75;4,7;3;True
Produtos de Uso Pessoal;Produtos de Uso Pessoal e de Limpeza;Consumo não Cíclico;NTCO3;NATURA &CO HOLDING S.A.;0,0;14,82;5,32;5,46;-0,6;0,24;33,49;-3,69;0,75;-8,04;1,46;64,13;2,83;-25,66;-45,69;0,6;-0,96;5,02;28,03;-3,09;-1,73;0,79;1,25;0,01;0,48;0,52;-34,47;-71,81;-5,03;11,2;3;True
Produtos Diversos;Comércio;Consumo Cíclico;PETZ3;PETZ;-29,48;32,81;6,91;-0,37;-0,14;-0,02;18,81;6,85;0,82;0,01;1,65;46,69;3,11;8,54;0,17;0,49;-0,77;3,41;19,19;6,98;361,64;0,6;1,15;-4,35;0,43;0,57;0,14;0,32;3,81;3,67;3;True
Serviços de Apoio e Armazenagem;Transporte;Bens Industriais;STBP3;SANTOS BRASIL;202,99;18,3;5,72;0,11;0,09;0,06;9,6;8,01;0,4;0,88;3,36;56,33;43,01;51,53;27,37;1,63;-2,78;5,62;9,49;7,92;14,92;4,08;4,93;0,17;0,33;0,67;10,94;33,05;17,94;2,66;3;True
Programas e Serviços;Programas e Serviços;Tecnologia da Informação;LWSA3;LOCAWEB SERVIÇOS DE INTERNET S.A.;4,67;32,63;2,45;-3,39;-1,61;-0,14;10,97;5,22;0,34;0,02;1,25;48,19;8,49;17,87;1,01;0,41;-0,62;6,15;14,37;6,83;120,6;1,22;0,59;-0,47;0,7;0,3;0,34;0,49;3,51;4,98;3;True
Seguradoras;Previdência e Seguros;Financeiro e Outros;BBSE3;BB SEGURIDADE;19,19;0,0;9,99;0,0;0,0;0,0;7,72;0,0;0,0;4,26;2,17;0,0;0,0;0,0;0,0;3,86;-6,3;18,45;7,72;0,0;8,7;0,0;6,05;0,77;0,64;0,36;44,32;69,51;0,0;6,13;3;True
Material Rodoviário;Material de Transporte;Bens Industriais;RCSL3;RECRUSUL;0,0;66,3;0,0;0,0;0,0;0,0;-5,08;-5,78;0,62;-0,4;0,78;10,07;-34,12;-29,98;-41,23;2,23;-3,34;-23,97;-10,55;-12,01;-8,73;3,6;-11,41;0,93;-0,2;1,2;-25,49;-130,67;108,06;-0,3;3;True
Incorporações;Construção Civil;Consumo Cíclico;CURY3;CURY CONSTRUTORA E INCORPORADORA S.A.;37,52;25,68;9,57;-0,42;0,0;-0,3;8,52;0,0;0,94;2,21;2,21;38,41;20,96;0,0;17,4;1,75;-5,22;4,82;8,93;0,0;10,76;1,87;6,39;0,19;0,27;0,69;16,28;59,44;29,63;3,71;3;True
Produtos Diversos;Comércio;Consumo Cíclico;AMER3;AMERICANAS S.A;0,0;18,16;0,0;-0,99;0,94;0,11;-2,72;2,6;0,79;57,03;1,7;33,32;-4,37;4,58;77,71;0,06;-0,1;0,37;-1,73;1,65;0,1;0,08;0,19;0,0;0,31;0,69;61,7;199,74;-9,57;28,55;3;True
Construção Pesada;Construção e Engenharia;Bens Industriais;AZEV4;AZEVEDO E TRAVASSOS;0,0;54,36;0,0;-0,37;-0,45;0,26;-3,27;-4,03;0,24;-0,26;0,51;6,77;-107,84;-87,62;-81,56;0,79;-1,01;-3,86;-3,01;-3,71;-3,98;3,25;2,16;-0,01;0,37;0,63;-19,9;-54,09;-85,49;0,48;4;True
Material Rodoviário;Material de Transporte;Bens Industriais;RCSL4;RECRUSUL;0,0;66,3;0,0;0,0;0,0;0,0;-5,08;-5,78;0,62;-0,4;0,78;10,07;-34,12;-29,98;-41,23;0,49;-0,74;-5,28;-2,33;-2,65;-1,92;0,79;-2,51;0,21;-0,2;1,2;-25,49;-130,67;108,06;-0,3;4;True
Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;ODPV3;ODONTOPREV;13,62;5,88;12,4;-0,88;-0,83;-0,48;8,43;7,9;0,96;0,98;0,79;32,07;31,11;33,18;24,22;2,79;-4,05;-34,28;9,31;8,73;11,96;2,9;5,04;1,24;0,55;0,45;23,35;42,17;36,77;2,31;3;True
Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;KEPL3;KEPLER WEBER;98,04;21,28;8,78;-0,43;-0,38;-0,19;4,89;4,36;1,06;1,4;2,14;30,43;19,7;22,06;15,27;1,11;-3,66;3,01;5,32;4,75;6,86;1,05;2,29;-1,46;0,49;0,51;16,24;33,38;22,67;4,2;3;True
Embalagens;Embalagens;Materiais Básicos;RANI3;Irani Papel e Embalagem S.A.;110,83;11,31;7,31;3,83;2,36;0,86;10,0;6,16;0,46;0,52;2,87;37,18;17,62;28,61;7,9;0,5;-0,74;2,31;6,18;3,81;13,79;1,09;1,38;-0,19;0,36;0,64;3,6;10,02;8,23;5,22;3;True
Açucar e Alcool;Alimentos Processados;Consumo não Cíclico;JALL3;JALLES MACHADO S.A.;0,0;20,16;1,52;4,46;0,0;1,42;6,49;0,0;0,33;-0,11;2,88;38,39;30,26;0,0;-1,59;0,2;-0,29;0,97;2,04;0,0;-38,87;0,62;0,65;0,15;0,31;0,69;-0,52;-1,67;8,83;6,84;3;True
