ticker;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;number_code;outlier
HAPV3;Saúde;-32,34;0,37;0,0;0,0;-1,13;3;True
CRFB3;Consumo não Cíclico;605,72;0,76;1,32;-56,79;0,13;3;True
AZUL4;Bens Industriais;-65,61;-0,18;0,0;0,0;-0,27;4;True
RAIL3;Bens Industriais;-48,33;2,25;0,51;0,0;-4,65;3;True
USIM5;Materiais Básicos;-51,26;0,28;4,74;0,0;-0,55;5;True
RADL3;Saúde;29,38;5,18;1,81;17,18;17,62;3;True
MRFG3;Consumo não Cíclico;53,26;2,26;20,53;-30,34;4,25;3;True
OIBR3;Comunicações;0,03;-0,03;0,0;-13,33;-81,27;3;True
ONCO3;Saúde;43,3;0,83;0,0;0,0;1,91;3;True
JBSS3;Consumo não Cíclico;9,56;1,49;9,55;210,62;15,6;3;True
WEGE3;Bens Industriais;36,26;11,2;1,44;35,41;30,89;3;True
NTCO3;Consumo não Cíclico;-1,73;1,25;5,32;0,0;-71,81;3;True
PETZ3;Consumo Cíclico;361,64;1,15;6,91;-29,48;0,32;3;True
STBP3;Bens Industriais;14,92;4,93;5,72;202,99;33,05;3;True
LWSA3;Tecnologia da Informação;120,6;0,59;2,45;4,67;0,49;3;True
BBSE3;Financeiro e Outros;8,7;6,05;9,99;19,19;69,51;3;True
RCSL3;Bens Industriais;-8,73;-11,41;0,0;0,0;-130,67;3;True
CURY3;Consumo Cíclico;10,76;6,39;9,57;37,52;59,44;3;True
AMER3;Consumo Cíclico;0,1;0,19;0,0;0,0;199,74;3;True
RCSL4;Bens Industriais;-1,92;-2,51;0,0;0,0;-130,67;4;True
ODPV3;Saúde;11,96;5,04;12,4;13,62;42,17;3;True
RANI3;Materiais Básicos;13,79;1,38;7,31;110,83;10,02;3;True
JALL3;Consumo não Cíclico;-38,87;0,65;1,52;0,0;-1,67;3;True
SOJA3;Consumo não Cíclico;5,33;1,1;2,81;106,34;20,57;3;True
AURA3;Materiais Básicos;-23,95;5,25;3,56;0,0;-21,94;3;True
ORVR3;Utilidade Pública;22,61;4,61;0,0;131,73;20,4;3;True
USIM3;Materiais Básicos;-50,66;0,28;4,36;0,0;-0,55;3;True
SYNE3;Financeiro e Outros;1,5;0,47;59,56;0,0;31,25;3;True
PTBL3;Bens Industriais;-36,66;1,42;0,0;0,0;-3,89;3;True
CLSA3;Tecnologia da Informação;-79,2;2,79;0,0;0,0;-3,53;3;True
PRNR3;Bens Industriais;432,43;2,39;0,0;-24,47;0,55;3;True
TFCO4;Consumo Cíclico;83,28;20,65;2,23;40,09;24,8;4;True
AMBP3;Utilidade Pública;-70,8;11,41;0,0;0,0;-16,11;3;True
AMAR3;Consumo Cíclico;-1,53;2,38;0,0;0,0;-155,67;3;True
SEQL3;Bens Industriais;-0,09;0,25;0,0;0,0;-282,82;3;True
LOGN3;Bens Industriais;-67,51;2,4;0,0;0,0;-3,55;3;True
DMVF3;Saúde;9,69;0,34;0,0;552,01;3,54;3;True
TRAD3;Tecnologia da Informação;-0,87;0,9;0,0;0,0;-103,79;3;True
LAND3;Consumo não Cíclico;55,16;2,03;0,57;0,0;3,67;3;True
ALLD3;Consumo Cíclico;4,36;0,44;32,78;20,06;10,19;3;True
FHER3;Materiais Básicos;-0,58;-0,63;0,0;0,0;-110,03;3;True
JFEN3;Consumo Cíclico;-0,2;0,24;0,0;0,0;-120,61;3;True
MNPR3;Consumo não Cíclico;61,16;-0,62;0,0;0,0;-1,01;3;True
OIBR4;Comunicações;0,23;-0,19;0,0;-13,33;-81,27;4;True
VSTE3;Consumo Cíclico;-387,95;0,61;0,86;0,0;-0,16;3;True
TKNO4;Materiais Básicos;4,16;0,63;2,39;130,56;15,05;4;True
MGEL4;Materiais Básicos;-47,49;1,71;0,0;0,0;-3,6;4;True
HOOT4;Consumo Cíclico;0,44;-0,42;0,0;0,0;-96,3;4;True
RDNI3;Consumo Cíclico;-0,38;0,36;0,0;0,0;-94,5;3;True
FRIO3;Bens Industriais;91,71;5,17;0,0;0,0;5,64;3;True
MNDL3;Consumo Cíclico;106,42;1,18;0,0;-10,76;1,11;3;True
CTKA4;Consumo Cíclico;2,53;-3,01;0,0;0,0;-119,38;4;True
CGAS5;Utilidade Pública;6,15;12,35;16,93;16,06;200,7;5;True
EKTR4;Utilidade Pública;9,97;4,86;22,98;19,34;48,71;4;True
