ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
SHOW3;1,0;1,0;1,0;Consumer Cyclical;1,0441176;0,30896428;;;-11,983;;3;False
IGTI3;1,0;0,9730833085889457;0,9838499851533674;Real Estate;1,4814816;0,6795017;3,0;66,0;8,984;0,31059998;3;False
PMAM3;1,0;0,951749834806287;0,9710499008837722;Basic Materials;1,828125;;;;;;3;False
KLBN4;0,9853170199055656;0,9417554797761588;0,9591800958279215;Basic Materials;1,9905213;2,5562992;4,0;177,4;14,674999999999999;0,76629996;4;False
ENGI3;1,0;0,929798906287395;0,957879343772437;Utilities;2,1848013;1,7814392;3,17;-0,2;18,35;0,3657;3;False
SANB3;1,0;0,9201684611537894;0,9521010766922736;Financial Services;2,3412845;1,0489109;6,0900003;76,4;15,251000000000001;0,42439997;3;False
POSI3;1,0;0,9186039212342197;0,9511623527405318;Technology;2,3667064;0,49598646;7,239999599999999;-97,89999999999999;16,891001;0,22569999;3;False
ETER3;1,0;0,8943259596781115;0,9365955758068669;Industrials;2,7611942;0,43083373;7,969999999999999;-11,5;15,09;0,2489;3;False
VTRU3;1,0;0,8861378854604078;0,9316827312762447;Consumer Defensive;2,8942406;0,39119112;;;2,358;;3;False
BRAV3;1,0;0,880088867349387;0,9280533204096322;Energy;2,9925299;0,8407628;1,8900000000000001;;6,371;0,17819999;3;False
BRAP4;0,9488084797487839;0,8874768087523792;0,912009477150941;Financial Services;2,8724847;0,75155085;6,550000000000001;-6,7;21,426001;0,50020003;4;False
HBOR3;0,8937149393572785;0,9165549394581843;0,907418939417822;Real Estate;2,3999999;0,15594542;5,72;7,7;6,8870000000000005;0,22639999;3;False
LPSB3;0,8673957302421571;0,9025569047476385;0,8884924349454459;Real Estate;2,6274512;0,8057727;3,0299999;-68,8;12,61;0,4708;3;False
TASA4;0,9405100078255888;0,850464197902979;0,8864825218720229;Industrials;3,4738953;0,91206235;3,54;1,0;6,819;0,48490003;4;False
ROMI3;0,918211461980119;0,8340235585608451;0,8676987199285546;Industrials;3,741036;0,71314657;9,229999999999999;-17,7;9,5790006;0,6593;3;False
BRSR6;0,8823265149472774;0,8450204551690529;0,8599428790803427;Financial Services;3,5623496;0,4301655;4,61;1,3;10,25;0,1578;6;False
PTBL3;0,9060449802076509;0,8250532543863047;0,8574499447148431;Industrials;3,8867927;1,4714285;;-34,0;-3,946;;3;False
JALL3;0,9097658209497099;0,8207846136402028;0,8563770965640056;Consumer Defensive;3,956153;0,69767445;1,46;;5,607;0,17639999;3;False
JSLG3;0,8858839973820771;0,8101886327327114;0,8404667785924577;Industrials;4,128325;1,0019886;6,9;-6,5;14,545;0,2401;3;False
ONCO3;1,0;0,7157201936310087;0,8294321161786052;Healthcare;5,663324;0,35726213;;;3,7859999999999996;;3;False
GFSA3;0,8221890248354549;0,8221890248354549;0,8221890248354549;Consumer Cyclical;3,933333;0,07015458;;;-1,2130001;;3;False
ABCB4;0,8332251055186259;0,8136635780616053;0,8214881890444136;Financial Services;4,0718613;0,7659607;8,129999999999999;1,7000000000000002;16,131999999999998;0,3157;4;False
GGBR3;0,8137729491211394;0,8249895143041435;0,8205028882309418;Basic Materials;3,8878284;0,6142534;4,79;-14,099999999999998;9,149000000000001;0,3838;3;False
DESK3;1,0;0,6961280420272696;0,8176768252163618;Communication Services;5,981673;0,85751516;0,43;-64,60000000000001;8,180001;0,0561;3;False
BBAS3;0,8127260317503914;0,8005725701975427;0,8054339548186822;Financial Services;4,2845745;0,93910015;7,4099995000000005;6,2;19,566;0,39060003;3;False
USIM3;0,7923291977440137;0,8103932631982773;0,8031676370165719;Basic Materials;4,125;0,3061698;4,36;;0,013;0,36240003;3;False
ECOR3;0,8380942504325977;0,7749534205671674;0,8002097525133396;Industrials;4,700855;1,093222;3,66;19,900000000000002;26,770001999999998;0,2201;3;False
CSAN3;0,7996706539938812;0,7846805743665145;0,7906766062174612;Energy;4,5428004;0,72832805;5,96;-56,89999999999999;8,8999994;0,3783;3;False
PETR4;0,7980919336008327;0,7839286974158785;0,7895939918898602;Energy;4,5550175;1,2333431;13,889999999999999;23,7;21,757999;0,959;4;False
FIQE3;0,9561804930130958;0,6675256079180334;0,7829875619560583;Communication Services;6,4464283;1,0912938;8,930001;13,5;15,395;0,4923;3;False
TUPY3;0,8082894514281617;0,7529784471992841;0,7751028488908351;Industrials;5,057922;0,82215023;8,450000000000001;-66,10000000000001;9,7320005;0,2923;3;False
DEXP3;0,7524439265100104;0,783244308515931;0,7709241557135627;Basic Materials;4,566138;0,9867368;7,7;-10,0;20,179;0,3062;3;False
MELK3;0,7038014834113444;0,8155482892696141;0,7708495669263062;Real Estate;4,041237;0,66294605;7,290000000000001;143,9;11,3579996;0,2143;3;False
MDNE3;0,7022230341717076;0,8147087812453181;0,7697144824158739;Real Estate;4,054878;0,7208672;5,12;94,89999999999999;;;3;False
UCAS3;0,7688517401134745;0,7688517401134745;0,7688517401134745;Consumer Cyclical;4,8;0,48289737;12,61;-95,1;6,4619995999999995;1,0426999;3;False
VALE3;0,7460050218021002;0,7788614993557925;0,7657189083343156;Basic Materials;4,6373534;1,1334002;10,99;-2,3;23,332000999999998;0,4976;3;False
BMGB4;0,7613880972532512;0,7677874155205432;0,7652276882136264;Financial Services;4,817294;0,52478904;11,9799994;-32,7;9,126;0,6007;4;False
CSED3;0,7986432044565698;0,7403026207026802;0,763638854204236;Consumer Defensive;5,263889;0,9332677;8,9899994;93,5;11,028;0,7306;3;False
TRIS3;0,6877613449549286;0,8070172420830226;0,759314883231785;Real Estate;4,1798563;0,7334932;3,5999999999999996;66,8;10,3640005;0,25010002;3;False
GOAU4;0,7363768541414316;0,7723078348223374;0,7579354425499751;Basic Materials;4,7438426;0,52158374;4,62;149,2;9,090999499999999;0,78620005;4;False
BBDC4;0,7508231717673861;0,7610404998216975;0,756953568599973;Financial Services;4,9269233;0,7683111;1,87;189,9;10,443;0,797;4;False
PETR3;0,741215369051268;0,7568408241582161;0,7505906421154368;Energy;4,995163;1,3525195;12,73;23,7;21,757999;0,959;3;False
